epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,289.805,0.44102,0.40126,0.86434,0.99925,1,0.995,0.93107,0.37147,0.46027,0.82765,0.00029232,0.00029232,0.00029232
38,298.534,0.38751,0.40074,0.88584,0.99925,1,0.995,0.93107,0.37147,0.46027,0.82765,0.00028823,0.00028823,0.00028823
39,306.341,0.39821,0.35278,0.85756,0.99918,1,0.995,0.93808,0.36723,0.43799,0.82773,0.00028348,0.00028348,0.00028348
40,314.145,0.37936,0.37047,0.88148,0.99918,1,0.995,0.93808,0.36723,0.43799,0.82773,0.00027807,0.00027807,0.00027807
41,321.955,0.3742,0.33541,0.86755,0.99869,1,0.995,0.93494,0.34186,0.40797,0.81911,0.000272,0.000272,0.000272
42,329.271,0.36293,0.30989,0.86818,0.99869,1,0.995,0.93494,0.34186,0.40797,0.81911,0.00026527,0.00026527,0.00026527
43,337.349,0.43219,0.33542,0.87734,0.99828,1,0.995,0.95484,0.30666,0.365,0.8084,0.00025788,0.00025788,0.00025788
44,345.715,0.37038,0.35063,0.87497,0.99828,1,0.995,0.95484,0.30666,0.365,0.8084,0.00024983,0.00024983,0.00024983
45,353.502,0.37639,0.34033,0.86351,0.99852,1,0.995,0.96545,0.28483,0.33675,0.80362,0.00024112,0.00024112,0.00024112
46,361.02,0.37992,0.39325,0.83404,0.99852,1,0.995,0.96545,0.28483,0.33675,0.80362,0.00023175,0.00023175,0.00023175
47,368.59,0.36296,0.36897,0.86486,0.99883,1,0.995,0.97084,0.27652,0.30956,0.80275,0.00022172,0.00022172,0.00022172
48,376.334,0.36583,0.34388,0.8451,0.99883,1,0.995,0.97084,0.27652,0.30956,0.80275,0.00021103,0.00021103,0.00021103
49,383.986,0.35189,0.34947,0.84019,0.99908,1,0.995,0.96664,0.29967,0.29864,0.80904,0.00019968,0.00019968,0.00019968
50,391.083,0.36854,0.33797,0.87939,0.99908,1,0.995,0.96664,0.29967,0.29864,0.80904,0.00018767,0.00018767,0.00018767
51,399.282,0.30397,0.3705,0.79395,0.99911,1,0.995,0.95693,0.31336,0.29576,0.81124,0.000175,0.000175,0.000175
52,407.029,0.33265,0.36811,0.83009,0.99911,1,0.995,0.95693,0.31336,0.29576,0.81124,0.00016167,0.00016167,0.00016167
53,414.908,0.34385,0.41142,0.86002,0.99911,1,0.995,0.95693,0.31336,0.29576,0.81124,0.00014768,0.00014768,0.00014768
54,422.629,0.3836,0.43957,0.84203,0.99895,1,0.995,0.96044,0.3029,0.28545,0.80596,0.00013303,0.00013303,0.00013303
55,430.443,0.32623,0.42908,0.79969,0.99895,1,0.995,0.96044,0.3029,0.28545,0.80596,0.00011772,0.00011772,0.00011772
56,437.825,0.34064,0.39409,0.80783,0.99895,1,0.995,0.96044,0.3029,0.28545,0.80596,0.00010175,0.00010175,0.00010175
57,445.179,0.3586,0.39561,0.82875,0.99881,1,0.995,0.97069,0.28453,0.27154,0.80037,8.512e-05,8.512e-05,8.512e-05
58,452.535,0.3304,0.35692,0.84191,0.99881,1,0.995,0.97069,0.28453,0.27154,0.80037,6.783e-05,6.783e-05,6.783e-05
59,460.002,0.32038,0.37096,0.7994,0.99881,1,0.995,0.97069,0.28453,0.27154,0.80037,4.988e-05,4.988e-05,4.988e-05
60,467.44,0.29966,0.34798,0.7639,0.99877,1,0.995,0.97192,0.27452,0.26453,0.79791,3.127e-05,3.127e-05,3.127e-05
